<span style="color:red;">Mar 27,2017 00:51:31 [Fail]  ====Failed==== "Agreement Link" field is not present'</span>
Mar 27,2017 10:10:35 [Info]  Clicked on the 'OK Button' using JS Executor
Mar 27,2017 10:10:35 [Info]  *******Changing the values in the SBU field and verify >> Save >> verify values in " Series-episodes update window" >> Select All Button
Mar 27,2017 10:10:36 [Info]  Selected "5" number's value in "SBU" drop down
Mar 27,2017 10:10:36 [Info]  Clicked on the 'Save Button' using JS Executor
Mar 27,2017 10:10:36 [Info]  Verify The data of 'AllAssociatedEpisodes' Radio button
<span style="color:green;">Mar 27,2017 10:10:36 [Verification]  Verified that Expected value :[Apply changes to all associated Episodes] is matched with Actual value :[Apply changes to all associated Episodes]</span>
Mar 27,2017 10:10:36 [Info]  Verify The data of 'Do not change Episode data' Radio Button
<span style="color:green;">Mar 27,2017 10:10:36 [Verification]  Verified that Expected value :[Do not change Episode data] is matched with Actual value :[Do not change Episode data]</span>
Mar 27,2017 10:10:36 [Info]  Verify The data of 'Apply changes to selected Episodes' Radio button
<span style="color:green;">Mar 27,2017 10:10:36 [Verification]  Verified that Expected value :[Apply changes to selected Episodes:] is matched with Actual value :[Apply changes to selected Episodes:]</span>
Mar 27,2017 10:10:36 [Info]  ************Verify Buttons at 'Series Episode Window'************
Mar 27,2017 10:10:36 [Info]  Verify The data of Select All
<span style="color:green;">Mar 27,2017 10:10:36 [Verification]  Verified that Expected value :[Select All] is matched with Actual value :[Select All]</span>
Mar 27,2017 10:10:36 [Info]  Verify The data of Ok Button
<span style="color:green;">Mar 27,2017 10:10:36 [Verification]  Verified that Expected value :[OK] is matched with Actual value :[OK]</span>
Mar 27,2017 10:10:36 [Info]  Verify The data of Cancel Button
<span style="color:green;">Mar 27,2017 10:10:36 [Verification]  Verified that Expected value :[Cancel] is matched with Actual value :[Cancel]</span>
Mar 27,2017 10:10:37 [Info]  Clicked on the 'SelectAll'
Mar 27,2017 10:10:44 [Info]  Clicked on the 'OK Button' using JS Executor
Mar 27,2017 10:10:44 [Info]  Test 'TC6_Series_handling' PASSED
Mar 27,2017 10:10:45 [Info]  Closed the Browser
Mar 27,2017 10:10:45 [Info]  *********************Started Executing 'TC7_Validate_duplicate_Asset' Test Case*********************
Mar 27,2017 10:10:55 [Info]  Client: SKY
Mar 27,2017 10:10:55 [Info]  URL: http://rlv2wb85/Home.aspx
Mar 27,2017 10:10:55 [Info]  UserName: admin
Mar 27,2017 10:10:55 [Info]  Password: admin
Mar 27,2017 10:10:56 [Info]  Entered "admin" in field 'User Name'
Mar 27,2017 10:10:56 [Info]  Clicked on the 'Temporary Check Box'
Mar 27,2017 10:10:56 [Info]  Entered "admin" in field 'Password'
Mar 27,2017 10:11:05 [Info]  Clicked on the 'LoginButton'
Mar 27,2017 10:11:11 [Info]  Asset01 with prefix 'AUT_AssetSeries_':AUT_AssetSeries_03272017101111
Mar 27,2017 10:11:11 [Info]  ************************Started Creating Asset of Type: Program - Series************************
Mar 27,2017 10:11:21 [Info]  Clicked on the 'MODULE'
Mar 27,2017 10:11:27 [Info]  Clicked on the 'Title Maintenance'
Mar 27,2017 10:11:37 [Info]  Clicked on the 'New Button' using JS Executor
Mar 27,2017 10:11:49 [Info]  Clicked on the 'Program' using JS Executor
Mar 27,2017 10:11:57 [Info]  Clicked on the 'General TAB'
Mar 27,2017 10:12:08 [Info]  Selected "Program - Series" in "AssetTypeDropDown" drop down
Mar 27,2017 10:12:09 [Info]  Entered "AUT_AssetSeries_03272017101111" in field 'AssetTitle'
Mar 27,2017 10:12:09 [Info]  Clicked on the 'SBUImage' using JS Executor
Mar 27,2017 10:12:15 [Info]  Clicked on the 'First CheckBox At SBU window'
Mar 27,2017 10:12:18 [Info]  Clicked on the 'Apply Button' using JS Executor
Mar 27,2017 10:12:18 [Info]  Entered "11:11:11" in field 'Duration'
Mar 27,2017 10:12:28 [Info]  Selected "Active" in "Asset Status" drop down
Mar 27,2017 10:12:28 [Info]  Selected "Event" in "Asset Format" drop down
Mar 27,2017 10:12:28 [Info]  Selected "License Acquired" in "Asset Source" drop down
Mar 27,2017 10:12:28 [Info]  Entered "AUT_Series" in field 'Short Name'
Mar 27,2017 10:12:29 [Info]  Clicked on the 'Save Button' using JS Executor
Mar 27,2017 10:12:43 [Info]  Verify The data of Created AssetAUT_AssetSeries_03272017101111
<span style="color:green;">Mar 27,2017 10:12:43 [Verification]  Verified that Expected value :[AUT_AssetSeries_03272017101111] is matched with Actual value :[AUT_AssetSeries_03272017101111]</span>
Mar 27,2017 10:12:43 [Info]  ************************Created Asset of TypeProgram - Series************************
Mar 27,2017 10:12:43 [Info]  Asset01 with prefix 'RSGA_': RSGA_03272017101111
Mar 27,2017 10:12:43 [Info]  ************************Started Creating Asset of Type: Program - Series************************
Mar 27,2017 10:12:54 [Info]  Clicked on the 'MODULE'
Mar 27,2017 10:13:00 [Info]  Clicked on the 'Title Maintenance'
Mar 27,2017 10:13:10 [Info]  Clicked on the 'New Button' using JS Executor
Mar 27,2017 10:13:22 [Info]  Clicked on the 'Program' using JS Executor
Mar 27,2017 10:13:30 [Info]  Clicked on the 'General TAB'
Mar 27,2017 10:13:41 [Info]  Selected "Program - Series" in "AssetTypeDropDown" drop down
Mar 27,2017 10:13:41 [Info]  Entered "RSGA_03272017101111" in field 'AssetTitle'
Mar 27,2017 10:13:42 [Info]  Clicked on the 'SBUImage' using JS Executor
Mar 27,2017 10:13:48 [Info]  Clicked on the 'First CheckBox At SBU window'
Mar 27,2017 10:13:50 [Info]  Clicked on the 'Apply Button' using JS Executor
Mar 27,2017 10:13:50 [Info]  Entered "11:11:11" in field 'Duration'
Mar 27,2017 10:14:01 [Info]  Selected "Active" in "Asset Status" drop down
Mar 27,2017 10:14:01 [Info]  Selected "Event" in "Asset Format" drop down
Mar 27,2017 10:14:01 [Info]  Selected "License Acquired" in "Asset Source" drop down
Mar 27,2017 10:14:01 [Info]  Entered "AUT_Series" in field 'Short Name'
Mar 27,2017 10:14:01 [Info]  Clicked on the 'Save Button' using JS Executor
Mar 27,2017 10:14:16 [Info]  Verify The data of Created AssetRSGA_03272017101111
<span style="color:green;">Mar 27,2017 10:14:16 [Verification]  Verified that Expected value :[RSGA_03272017101111] is matched with Actual value :[RSGA_03272017101111]</span>
Mar 27,2017 10:14:16 [Info]  ************************Created Asset of TypeProgram - Series************************
Mar 27,2017 10:14:16 [Info]  Asset02 with prefix 'The RSGB_': The RSGB_03272017101111
Mar 27,2017 10:14:16 [Info]  ************************Started Creating Asset of Type: Program - Series************************
Mar 27,2017 10:14:26 [Info]  Clicked on the 'MODULE'
Mar 27,2017 10:14:33 [Info]  Clicked on the 'Title Maintenance'
Mar 27,2017 10:14:43 [Info]  Clicked on the 'New Button' using JS Executor
Mar 27,2017 10:14:55 [Info]  Clicked on the 'Program' using JS Executor
Mar 27,2017 10:15:03 [Info]  Clicked on the 'General TAB'
Mar 27,2017 10:15:14 [Info]  Selected "Program - Series" in "AssetTypeDropDown" drop down
Mar 27,2017 10:15:14 [Info]  Entered "The RSGB_03272017101111" in field 'AssetTitle'
Mar 27,2017 10:15:15 [Info]  Clicked on the 'SBUImage' using JS Executor
Mar 27,2017 10:15:21 [Info]  Clicked on the 'First CheckBox At SBU window'
Mar 27,2017 10:15:23 [Info]  Clicked on the 'Apply Button' using JS Executor
Mar 27,2017 10:15:23 [Info]  Entered "11:11:11" in field 'Duration'
Mar 27,2017 10:15:33 [Info]  Selected "Active" in "Asset Status" drop down
Mar 27,2017 10:15:33 [Info]  Selected "Event" in "Asset Format" drop down
Mar 27,2017 10:15:34 [Info]  Selected "License Acquired" in "Asset Source" drop down
Mar 27,2017 10:15:34 [Info]  Entered "AUT_Series" in field 'Short Name'
Mar 27,2017 10:15:34 [Info]  Clicked on the 'Save Button' using JS Executor
Mar 27,2017 10:15:48 [Info]  Verify The data of Created AssetThe RSGB_03272017101111
<span style="color:green;">Mar 27,2017 10:15:48 [Verification]  Verified that Expected value :[The RSGB_03272017101111] is matched with Actual value :[The RSGB_03272017101111]</span>
Mar 27,2017 10:15:48 [Info]  ************************Created Asset of TypeProgram - Series************************
Mar 27,2017 10:15:48 [Info]  Asset03 with prefix 'An_RSGC_': An_RSGC_03272017101111
Mar 27,2017 10:15:48 [Info]  ************************Started Creating Asset of Type: Program - Series************************
Mar 27,2017 10:15:59 [Info]  Clicked on the 'MODULE'
Mar 27,2017 10:16:05 [Info]  Clicked on the 'Title Maintenance'
Mar 27,2017 10:16:15 [Info]  Clicked on the 'New Button' using JS Executor
Mar 27,2017 10:16:24 [Info]  Clicked on the 'Program' using JS Executor
Mar 27,2017 10:16:33 [Info]  Clicked on the 'General TAB'
Mar 27,2017 10:16:44 [Info]  Selected "Program - Series" in "AssetTypeDropDown" drop down
Mar 27,2017 10:16:44 [Info]  Entered "An_RSGC_03272017101111" in field 'AssetTitle'
Mar 27,2017 10:16:44 [Info]  Clicked on the 'SBUImage' using JS Executor
Mar 27,2017 10:16:51 [Info]  Clicked on the 'First CheckBox At SBU window'
Mar 27,2017 10:16:53 [Info]  Clicked on the 'Apply Button' using JS Executor
Mar 27,2017 10:16:53 [Info]  Entered "11:11:11" in field 'Duration'
Mar 27,2017 10:17:03 [Info]  Selected "Active" in "Asset Status" drop down
Mar 27,2017 10:17:03 [Info]  Selected "Event" in "Asset Format" drop down
Mar 27,2017 10:17:03 [Info]  Selected "License Acquired" in "Asset Source" drop down
Mar 27,2017 10:17:04 [Info]  Entered "AUT_Series" in field 'Short Name'
Mar 27,2017 10:17:04 [Info]  Clicked on the 'Save Button' using JS Executor
Mar 27,2017 10:17:18 [Info]  Verify The data of Created AssetAn_RSGC_03272017101111
<span style="color:green;">Mar 27,2017 10:17:18 [Verification]  Verified that Expected value :[An_RSGC_03272017101111] is matched with Actual value :[An_RSGC_03272017101111]</span>
Mar 27,2017 10:17:18 [Info]  ************************Created Asset of TypeProgram - Series************************
Mar 27,2017 10:17:18 [Info]  Asset04 with prefix '@ RSGD_': @ RSGD_03272017101111
Mar 27,2017 10:17:18 [Info]  ************************Started Creating Asset of Type: Program - Series************************
Mar 27,2017 10:17:28 [Info]  Clicked on the 'MODULE'
Mar 27,2017 10:17:34 [Info]  Clicked on the 'Title Maintenance'
Mar 27,2017 10:17:44 [Info]  Clicked on the 'New Button' using JS Executor
Mar 27,2017 10:17:55 [Info]  Clicked on the 'Program' using JS Executor
Mar 27,2017 10:18:03 [Info]  Clicked on the 'General TAB'
Mar 27,2017 10:18:13 [Info]  Selected "Program - Series" in "AssetTypeDropDown" drop down
Mar 27,2017 10:18:14 [Info]  Entered "@ RSGD_03272017101111" in field 'AssetTitle'
Mar 27,2017 10:18:14 [Info]  Clicked on the 'SBUImage' using JS Executor
Mar 27,2017 10:18:20 [Info]  Clicked on the 'First CheckBox At SBU window'
Mar 27,2017 10:18:23 [Info]  Clicked on the 'Apply Button' using JS Executor
Mar 27,2017 10:18:23 [Info]  Entered "11:11:11" in field 'Duration'
Mar 27,2017 10:18:33 [Info]  Selected "Active" in "Asset Status" drop down
Mar 27,2017 10:18:33 [Info]  Selected "Event" in "Asset Format" drop down
Mar 27,2017 10:18:33 [Info]  Selected "License Acquired" in "Asset Source" drop down
Mar 27,2017 10:18:33 [Info]  Entered "AUT_Series" in field 'Short Name'
Mar 27,2017 10:18:34 [Info]  Clicked on the 'Save Button' using JS Executor
Mar 27,2017 10:18:49 [Info]  Verify The data of Created Asset@ RSGD_03272017101111
<span style="color:green;">Mar 27,2017 10:18:49 [Verification]  Verified that Expected value :[@ RSGD_03272017101111] is matched with Actual value :[@ RSGD_03272017101111]</span>
Mar 27,2017 10:18:49 [Info]  ************************Created Asset of TypeProgram - Series************************
Mar 27,2017 10:18:59 [Info]  Clicked on the 'MODULE'
Mar 27,2017 10:19:05 [Info]  Clicked on the 'Title Maintenance'
Mar 27,2017 10:19:19 [Info]  Double clicked on 'AUT_AssetSeries_03272017101111AssetName'
Mar 27,2017 10:19:19 [Info]  Entered "RSGA_03272017101111" in field 'Asset Title Field'
Mar 27,2017 10:19:19 [Info]  Clicked on the 'AssetTitleImageIcon'
Mar 27,2017 10:19:19 [Info]  Accepted Alert
Mar 27,2017 10:19:21 [Info]  Verify The data of TitleHeader at Asset Title Window
<span style="color:green;">Mar 27,2017 10:19:21 [Verification]  Verified that Expected value :[Title] is matched with Actual value :[Title]</span>
Mar 27,2017 10:19:21 [Info]  Verify The data of AKA Titles at Asset Title Window
<span style="color:green;">Mar 27,2017 10:19:21 [Verification]  Verified that Expected value :[AKA Titles] is matched with Actual value :[AKA Titles]</span>
Mar 27,2017 10:19:21 [Info]  Verify The data of Asset Type at Asset Title Window
<span style="color:green;">Mar 27,2017 10:19:21 [Verification]  Verified that Expected value :[Title Type] is matched with Actual value :[Title Type]</span>
Mar 27,2017 10:19:21 [Info]  Verify The data of Release Yr at Asset Title Window
<span style="color:green;">Mar 27,2017 10:19:21 [Verification]  Verified that Expected value :[Release Yr] is matched with Actual value :[Release Yr]</span>
Mar 27,2017 10:19:21 [Info]  Verify The data of Director/Artist at Asset Title Window
<span style="color:green;">Mar 27,2017 10:19:21 [Verification]  Verified that Expected value :[Director/Artist] is matched with Actual value :[Director/Artist]</span>
Mar 27,2017 10:19:21 [Info]  Verify The data of Save Button at Asset Title Window
<span style="color:green;">Mar 27,2017 10:19:21 [Verification]  Verified that Expected value :[Save] is matched with Actual value :[Save]</span>
Mar 27,2017 10:19:21 [Info]  Verify The data of Cancel Button at Asset Title Window
<span style="color:green;">Mar 27,2017 10:19:21 [Verification]  Verified that Expected value :[Cancel] is matched with Actual value :[Cancel]</span>
Mar 27,2017 10:19:21 [Info]  Verify The data of Asset Title in Asset title Window Box
<span style="color:green;">Mar 27,2017 10:19:21 [Verification]  Verified that Expected value :[RSGA_03272017101111 Program - Series] is matched with Actual value :[RSGA_03272017101111 Program - Series]</span>
Mar 27,2017 10:19:21 [Info]  Clicked on the 'Cancel Button at Asset Title Window' using JS Executor
Mar 27,2017 10:19:21 [Info]  Enter the Asset Name The RSGB_03272017101111 >> click on "Validate Asset Title" Icon >> Verify Asset Name in the opened window
Mar 27,2017 10:19:21 [Info]  Entered "The RSGB_03272017101111" in field 'Asset Title Field'
Mar 27,2017 10:19:22 [Info]  Clicked on the 'AssetTitleImageIcon'
Mar 27,2017 10:19:22 [Info]  Accepted Alert
Mar 27,2017 10:19:22 [Info]  Verify The data of Asset Title in Asset title Window Box
<span style="color:green;">Mar 27,2017 10:19:22 [Verification]  Verified that Expected value :[The RSGB_03272017101111 Program - Series] is matched with Actual value :[The RSGB_03272017101111 Program - Series]</span>
Mar 27,2017 10:19:23 [Info]  Clicked on the 'Cancel Button at Asset Title Window' using JS Executor
Mar 27,2017 10:19:23 [Info]  Enter the Asset Name An_RSGC_03272017101111 >> click on "Validate Asset Title" Icon >> Verify Asset Name in the opened window
Mar 27,2017 10:19:23 [Info]  Entered "An_RSGC_03272017101111" in field 'Asset Title Field'
Mar 27,2017 10:19:23 [Info]  Clicked on the 'AssetTitleImageIcon'
Mar 27,2017 10:19:23 [Info]  Accepted Alert
Mar 27,2017 10:19:24 [Info]  Verify The data of Asset Title in Asset title Window Box
<span style="color:green;">Mar 27,2017 10:19:24 [Verification]  Verified that Expected value :[An_RSGC_03272017101111 Program - Series] is matched with Actual value :[An_RSGC_03272017101111 Program - Series]</span>
Mar 27,2017 10:19:24 [Info]  Clicked on the 'Cancel Button at Asset Title Window' using JS Executor
Mar 27,2017 10:19:24 [Info]  Enter the Asset Name @ RSGD_03272017101111 >> click on "Validate Asset Title" Icon >> Verify Asset Name in the opened window
Mar 27,2017 10:19:24 [Info]  Entered "@ RSGD_03272017101111" in field 'Asset Title Field'
Mar 27,2017 10:19:24 [Info]  Clicked on the 'AssetTitleImageIcon'
Mar 27,2017 10:19:24 [Info]  Accepted Alert
Mar 27,2017 10:19:25 [Info]  Verify The data of Asset Title in Asset title Window Box
<span style="color:green;">Mar 27,2017 10:19:25 [Verification]  Verified that Expected value :[@ RSGD_03272017101111 Program - Series] is matched with Actual value :[@ RSGD_03272017101111 Program - Series]</span>
Mar 27,2017 10:19:25 [Info]  Clicked on the 'Cancel Button at Asset Title Window' using JS Executor
Mar 27,2017 10:19:25 [Info]  Test 'TC7_Validate_duplicate_Asset' PASSED
Mar 27,2017 10:19:26 [Info]  Closed the Browser
Mar 27,2017 10:32:01 [Info]  ********************Started Executiong the Test Suite at 10:32:01******************
Mar 27,2017 10:32:01 [Info]  Client: SKY
Mar 27,2017 10:32:01 [Info]  *********************Started Executing the Test Area(Modules/TAB): 'Default test'*********************
Mar 27,2017 10:32:01 [Info]  *********************Started Executing 'TC5_EpisodeCopy' Test Case*********************
Mar 27,2017 10:32:12 [Info]  Client: SKY
Mar 27,2017 10:32:12 [Info]  URL: http://rlv2wb85/Home.aspx
Mar 27,2017 10:32:12 [Info]  UserName: admin
Mar 27,2017 10:32:12 [Info]  Password: admin
Mar 27,2017 10:32:13 [Info]  Entered "admin" in field 'User Name'
Mar 27,2017 10:32:13 [Info]  Clicked on the 'Temporary Check Box'
Mar 27,2017 10:32:13 [Info]  Entered "admin" in field 'Password'
Mar 27,2017 10:32:21 [Info]  Clicked on the 'LoginButton'
Mar 27,2017 10:32:27 [Info]  ************************Started Creating Asset of Type: Program - Series************************
Mar 27,2017 10:32:38 [Info]  Clicked on the 'MODULE'
Mar 27,2017 10:32:44 [Info]  Clicked on the 'Title Maintenance'
Mar 27,2017 10:32:54 [Info]  Clicked on the 'New Button' using JS Executor
Mar 27,2017 10:33:06 [Info]  Clicked on the 'Program' using JS Executor
Mar 27,2017 10:33:14 [Info]  Clicked on the 'General TAB'
Mar 27,2017 10:33:25 [Info]  Selected "Program - Series" in "AssetTypeDropDown" drop down
Mar 27,2017 10:33:25 [Info]  Entered "AUT_AssetSeries_03272017103227" in field 'AssetTitle'
Mar 27,2017 10:33:26 [Info]  Clicked on the 'SBUImage' using JS Executor
Mar 27,2017 10:33:32 [Info]  Clicked on the 'First CheckBox At SBU window'
Mar 27,2017 10:33:34 [Info]  Clicked on the 'Apply Button' using JS Executor
Mar 27,2017 10:33:34 [Info]  Entered "11:11:11" in field 'Duration'
Mar 27,2017 10:33:45 [Info]  Selected "Active" in "Asset Status" drop down
Mar 27,2017 10:33:45 [Info]  Selected "Event" in "Asset Format" drop down
Mar 27,2017 10:33:45 [Info]  Selected "License Acquired" in "Asset Source" drop down
Mar 27,2017 10:33:45 [Info]  Entered "AUT_Series" in field 'Short Name'
Mar 27,2017 10:33:45 [Info]  Clicked on the 'Save Button' using JS Executor
Mar 27,2017 10:34:00 [Info]  Verify The data of Created AssetAUT_AssetSeries_03272017103227
<span style="color:green;">Mar 27,2017 10:34:00 [Verification]  Verified that Expected value :[AUT_AssetSeries_03272017103227] is matched with Actual value :[AUT_AssetSeries_03272017103227]</span>
Mar 27,2017 10:34:00 [Info]  ************************Created Asset of TypeProgram - Series************************
Mar 27,2017 10:34:10 [Info]  Clicked on the 'MODULE'
Mar 27,2017 10:34:16 [Info]  Clicked on the 'Title Maintenance'
Mar 27,2017 10:34:30 [Info]  Double clicked on 'AUT_AssetSeries_03272017103227AssetName'
Mar 27,2017 10:34:36 [Info]  Clicked on the 'Episodes TAB'
Mar 27,2017 10:34:40 [Info]  Clicked on the ''Edit' Button at Episode window' using JS Executor
Mar 27,2017 10:34:43 [Info]  Clicked on the ''Add' Button at Episode window' using JS Executor
Mar 27,2017 10:34:44 [Info]  Entered "101" in field 'Add Episode input field'
Mar 27,2017 10:34:45 [Info]  Clicked on the ''OK' Button at Episode window' using JS Executor
Mar 27,2017 10:34:50 [Info]  Clicked on the 'Season Field of Episode101' using JS Executor
Mar 27,2017 10:34:50 [Info]  Clicked on the 'Image Drop Down at 'Episode Edit Window''
Mar 27,2017 10:34:50 [Info]  Clicked on the 'Season 1'
Mar 27,2017 10:34:50 [Info]  Clicked on the 'Support click to select season'
Mar 27,2017 10:34:50 [Info]  Entered "00:30:00" in field 'duration Program'
Mar 27,2017 10:34:50 [Info]  Clicked on the ''Add' Button at Episode window' using JS Executor
Mar 27,2017 10:34:51 [Info]  Entered "102" in field 'Add Episode input field'
Mar 27,2017 10:34:52 [Info]  Clicked on the ''OK' Button at Episode window' using JS Executor
Mar 27,2017 10:34:57 [Info]  Clicked on the 'Season Field of Episode101' using JS Executor
Mar 27,2017 10:34:57 [Info]  Clicked on the 'Image Drop Down at 'Episode Edit Window''
Mar 27,2017 10:34:57 [Info]  Clicked on the 'Season 1'
Mar 27,2017 10:34:57 [Info]  Clicked on the 'Support click to select season'
Mar 27,2017 10:34:57 [Info]  Entered "00:30:00" in field 'duration Program'
Mar 27,2017 10:34:57 [Info]  Clicked on the ''Add' Button at Episode window' using JS Executor
Mar 27,2017 10:34:57 [Info]  Entered "201" in field 'Add Episode input field'
Mar 27,2017 10:34:59 [Info]  Clicked on the ''OK' Button at Episode window' using JS Executor
Mar 27,2017 10:35:04 [Info]  Clicked on the 'Season Field of Episode101' using JS Executor
Mar 27,2017 10:35:04 [Info]  Clicked on the 'Image Drop Down at 'Episode Edit Window''
Mar 27,2017 10:35:04 [Info]  Clicked on the 'Season 1'
Mar 27,2017 10:35:04 [Info]  Clicked on the 'Support click to select season'
Mar 27,2017 10:35:04 [Info]  Entered "00:30:00" in field 'duration Program'
Mar 27,2017 10:35:04 [Info]  Clicked on the ''Add' Button at Episode window' using JS Executor
Mar 27,2017 10:35:04 [Info]  Entered "202" in field 'Add Episode input field'
Mar 27,2017 10:35:05 [Info]  Clicked on the ''OK' Button at Episode window' using JS Executor
Mar 27,2017 10:35:11 [Info]  Clicked on the 'Season Field of Episode101' using JS Executor
Mar 27,2017 10:35:11 [Info]  Clicked on the 'Image Drop Down at 'Episode Edit Window''
Mar 27,2017 10:35:11 [Info]  Clicked on the 'Season 1'
Mar 27,2017 10:35:11 [Info]  Clicked on the 'Support click to select season'
Mar 27,2017 10:35:11 [Info]  Entered "00:30:00" in field 'duration Program'
Mar 27,2017 10:35:18 [Info]  Clicked on the 'Save Button at 'Episode Edit Window'' using JS Executor
Mar 27,2017 10:35:22 [Info]  Clicked on the 'Close Button at 'Episode Edit Window'' using JS Executor
Mar 27,2017 10:35:28 [Info]  Clicked on the 'Module '
Mar 27,2017 10:35:39 [Info]  Clicked on the 'Rights IN TAB '
Mar 27,2017 10:35:45 [Info]  Clicked on the 'New Button' using JS Executor
Mar 27,2017 10:35:49 [Info]  Clicked on the 'Master Agreement' using JS Executor
Mar 27,2017 10:35:52 [Info]  Generated Deal Id is:  7448
Mar 27,2017 10:35:52 [Info]  Clicked on the 'DealTitleField' using JS Executor
Mar 27,2017 10:35:53 [Info]  Entered "AUT_Deal_03272017103227_Master" in field 'Deal Name Field'
Mar 27,2017 10:35:53 [Info]  Entered "03272" in field 'Deal Code'
Mar 27,2017 10:35:53 [Info]  Selected "Acquisition-Program" in "DealType_DropDownField" drop down
Mar 27,2017 10:35:53 [Info]  Selected "Events" in "Deal/Agreement Sub Type" drop down
Mar 27,2017 10:35:54 [Info]  Entered "Fully Executed" in field 'Deal Creation Contract Status'
Mar 27,2017 10:35:54 [Info]  Entered "In Progress" in field 'DealCreationCDEStatus'
Mar 27,2017 10:35:54 [Info]  Entered "01/01/2014" in field 'DateExecuted_InputField'
Mar 27,2017 10:35:54 [Info]  Entered "USD" in field 'DealCreationCurrency'
Mar 27,2017 10:35:54 [Info]  Selected "Sky Movies" in "ProfitCenter_InputField" drop down
Mar 27,2017 10:36:00 [Info]  Selected "Sky Movies" in "BudgetLine_InputField" drop down
Mar 27,2017 10:36:22 [Info]  Moved Mouse over 'Party_AddButton'
Mar 27,2017 10:36:23 [Info]  Clicked on the 'Party_AddButton'
Mar 27,2017 10:36:26 [Info]  Entered "AUT_SKY_RI_PRIMARY_PARTY" in field 'Search Party InputField'
Mar 27,2017 10:36:29 [Info]  Double clicked on 'RI Search Party Window Find Button'
Mar 27,2017 10:36:30 [Info]  Clicked on the 'AUT_SKY_RI_PRIMARY_PARTY'
Mar 27,2017 10:36:30 [Info]  Clicked on the 'Select Button'
Mar 27,2017 10:36:36 [Info]  Clicked on the 'Party Type Field' using JS Executor
Mar 27,2017 10:36:37 [Info]  Entered "Primary" in field 'Party Party InputField'
Mar 27,2017 10:36:37 [Info]  Clicked on the 'Support Click '
Mar 27,2017 10:36:37 [Info]  Clicked on the 'Party_AddButton' using JS Executor
Mar 27,2017 10:36:42 [Info]  Entered "AUT_SKY_RI_LICENSOR_PARTY" in field 'Search Party InputField'
Mar 27,2017 10:36:44 [Info]  Double clicked on 'RI Search Party Window Find Button'
Mar 27,2017 10:36:49 [Info]  Clicked on the 'Select Party'
Mar 27,2017 10:36:49 [Info]  Clicked on the 'Select Button'
Mar 27,2017 10:36:55 [Info]  Clicked on the 'Party Type Field' using JS Executor
Mar 27,2017 10:36:55 [Info]  Entered "Licensor" in field 'Party Party InputField'
Mar 27,2017 10:36:56 [Info]  Clicked on the 'Support Click '
Mar 27,2017 10:37:07 [Info]  Clicked on the 'Save Button' using JS Executor
Mar 27,2017 10:37:07 [Info]  Clicked on the 'OK Button' using JS Executor
Mar 27,2017 10:37:07 [Info]  Verify The data of CreatedDeal
<span style="color:green;">Mar 27,2017 10:37:07 [Verification]  Verified that Expected value :[AUT_Deal_03272017103227_Master] is matched with Actual value :[AUT_Deal_03272017103227_Master]</span>
Mar 27,2017 10:37:07 [Info]  Clicked on the 'Module '
Mar 27,2017 10:37:19 [Info]  Clicked on the 'Rights IN TAB '
Mar 27,2017 10:37:25 [Info]  Clicked on the 'New Button' using JS Executor
Mar 27,2017 10:37:31 [Info]  Clicked on the 'Attachment & Link to Master' using JS Executor
Mar 27,2017 10:37:31 [Info]  Entered "AUT_Deal_03272017103227_Master" in field 'Deal Name'
Mar 27,2017 10:37:44 [Info]  Clicked on the 'Find Button' using JS Executor
Mar 27,2017 10:37:44 [Info]  Moved Mouse over 'First Deal in the Searched Deal'
Mar 27,2017 10:37:45 [Info]  Clicked on the 'First Deal in the Searched Deal'
Mar 27,2017 10:37:48 [Info]  Clicked on the 'View Deal' using JS Executor
Mar 27,2017 10:37:54 [Info]  Generated Deal Id is:  7449
Mar 27,2017 10:37:54 [Info]  Clicked on the 'DealTitleField' using JS Executor
Mar 27,2017 10:37:54 [Info]  Entered "AUT_Deal_03272017103227" in field 'Deal Name Field'
Mar 27,2017 10:37:54 [Info]  Entered "03272" in field 'Deal Code'
Mar 27,2017 10:37:54 [Info]  Selected "Acquisition-Program" in "DealType_DropDownField" drop down
Mar 27,2017 10:37:54 [Info]  Selected "Events" in "Deal/Agreement Sub Type" drop down
Mar 27,2017 10:37:54 [Info]  Entered "Fully Executed" in field 'Deal Creation Contract Status'
Mar 27,2017 10:37:55 [Info]  Entered "In Progress" in field 'DealCreationCDEStatus'
Mar 27,2017 10:37:55 [Info]  Entered "01/01/2014" in field 'DateExecuted_InputField'
Mar 27,2017 10:37:55 [Info]  Entered "USD" in field 'DealCreationCurrency'
Mar 27,2017 10:37:55 [Info]  Selected "Sky Movies" in "ProfitCenter_InputField" drop down
Mar 27,2017 10:38:01 [Info]  Selected "Sky Movies" in "BudgetLine_InputField" drop down
Mar 27,2017 10:38:25 [Info]  Clicked on the 'Save Button' using JS Executor
Mar 27,2017 10:38:30 [Info]  Clicked on the 'OK Button' using JS Executor
Mar 27,2017 10:38:30 [Info]  Verify The data of CreatedDeal
<span style="color:green;">Mar 27,2017 10:38:30 [Verification]  Verified that Expected value :[AUT_Deal_03272017103227] is matched with Actual value :[AUT_Deal_03272017103227]</span>
Mar 27,2017 10:38:34 [Info]  Clicked on the 'Navigator' using JS Executor
